Id,Content
Zuoyequnxing_1_1,你在看什麼？
Zuoyequnxing_1_2,啊，你來了。我只是在想像，要是我想要再拉一筆天文數字的投資，用於研究面前這個巨大機兵衍生出的各色隧群產物……
Zuoyequnxing_1_3,我得編出份什麼樣的企劃案，才能讓整個索拉里斯有名有姓的勢力都點頭，每年老老實實地把錢塞進我口袋裡。
Zuoyequnxing_1_4,想到了嗎？
Zuoyequnxing_1_5,沒有，我的道德不允許我細想，不過能想到辦法的人已經回來了。
Zuoyequnxing_1_6,……那個答應為我提供刀的老爺子？深空聯合的總負責人？
Zuoyequnxing_1_7,是，別看他當時答應得挺痛快，腦子裡估計繞過一百個彎了，要不是葦原現在是那副樣子，他不會輕易同意給你做那把刀。
Zuoyequnxing_1_8,至少，也得從你身上撬出足夠的價碼才肯做。
Zuoyequnxing_1_14,兩天，多停一天吧，四處逛逛也好。
Zuoyequnxing_1_15,去吧，黑海岸的人會負責接應你。唉……我還得回去處理陸醫生給我留下的麻煩事。
Zuoyequnxing_1_16,好。需要時聯繫我。
Zuoyequnxing_1_17,嗯，我在聽……
Zuoyequnxing_1_18,和達妮婭有關嗎……晚些時候當面說吧。
Zuoyequnxing_1_19,……我沒有找到那孩子，那片區域中的時空過於混亂，紙役最終都迷失了。
Zuoyequnxing_1_20,嗯……需要能堅持更久的探測手段才行嗎？
Zuoyequnxing_1_21,但是最近的虛質異常活躍，最好還是要有明確的指引。
Zuoyequnxing_1_22,那孩子是隧者的共鳴者，沒有比這更強烈的指引了。
Zuoyequnxing_1_23,看來讓隧者啟動的時機已經到了，在這種情況下不管是麻煩的大人還是適合駕駛的人應該都會欣然同意吧？
Zuoyequnxing_1_24,欸，你說就用隧者啟動時的影像去拉投資如何？
Zuoyequnxing_1_25,保密協議怎麼辦？
Zuoyequnxing_1_26,那我在資金這塊的心病怎麼辦？
Zuoyequnxing_1_27,去趟穗波吧。我已經幫你處理好外出申請了。
Zuoyequnxing_1_28,為什麼？
Zuoyequnxing_1_29,為了……試試刀？
Zuoyequnxing_1_30,就算隧者啟動了，也有失敗的可能。那樣的話，你所封印的那片<te href=851075>黯原</te>會成為一個風險點……
Zuoyequnxing_1_31,但也可能成為我們翻盤的希望。
Zuoyequnxing_1_32,所以，在我給你派發鎮守黯原這不近人情的任務前，先去解決下你自己的心病吧。
Zuoyequnxing_1_33,……嗯，我一天後回來。
Zuoyequnxing_1_34,"緋雪來到冰原與洛瑟菈商議相關事項，並告知她使用紙役白鳥尋找愛彌斯的行動都告以失敗。
在洛瑟菈的安排下，緋雪將在之後隧者計劃推進的過程中鎮守地下黯原，並作為失敗可能性的後手。為了讓她能平穩地行使職責，洛瑟菈建議她先返回穗波市解決其自身的心病。"
Zuoyequnxing_10_1,你好呀，巫女大人，等你很久啦。
Zuoyequnxing_10_2,我的遺願，就是想見你一面呢。
Zuoyequnxing_10_3,……遺願？
Zuoyequnxing_10_4,沒關係，我知道自己已經死掉了，也知道大家把我這樣的存在稱為「往人」。
Zuoyequnxing_10_5,但我覺得，反正都已經變成往人了，怎麼也要完成了遺願再消散吧？
Zuoyequnxing_10_6,嗯……的確聽說會有因願望強烈，在自知是往人的前提下仍保持理智的情況，但竟然只是為了這樣的願望……
Zuoyequnxing_10_7,你的遺願，就只是想見我一面嗎？
Zuoyequnxing_10_8,嘿嘿，畢竟你可是從我曾祖母那個時代起，就當上了灼櫻巫女的傳奇人物。
Zuoyequnxing_10_9,我聽說穗波遇難，灼櫻巫女會趕來與先遣隊伍會合，就特意趕到這裡來見你了。
Zuoyequnxing_10_10,你不該為了這種事冒險。如果只是想見我，大可以到灼櫻去。
Zuoyequnxing_10_11,我知道我知道，不過光是把願望寫在牌子上，就算說巫女大人都會看，也總會擔心疑惑「願望沒有傳達到呢」。
Zuoyequnxing_10_12,我冒險跑過來，就是為了當面向巫女大人許個願望，看看到底能不能靈驗。
Zuoyequnxing_10_13,好吧，那你真正的願望是什麼？
Zuoyequnxing_10_14,我希望世界和平，人們不再承受悲鳴的恐懼，每個人都能在悲鳴下存活——
Zuoyequnxing_10_15,巫女大人，我的願望是……「不再有下一個灼櫻巫女」。
Zuoyequnxing_10_16,……
Zuoyequnxing_10_17,那麼，我向你保證，你的願望會實現。
Zuoyequnxing_10_18,我知道，我的願望一定會實現。
Zuoyequnxing_10_19,畢竟，你可是「永世巫女」——
Zuoyequnxing_10_20,別急著動手，巫女大人。
Zuoyequnxing_10_21,你大可以隨時把這裡連我這具分身一起砍了，但我想，你肯定會對這個感興趣。
Zuoyequnxing_10_22,玉露姐的白鳥……
Zuoyequnxing_10_23,我知道，殘星會給葦原添了不少麻煩，但我本人對你並無敵意。
Zuoyequnxing_10_24,我和上任巫女有過一些接觸，雖然談得不算愉快，不過我可以向你保證，她的死和我無關。
Zuoyequnxing_10_25,如你所見過的那樣，她是在灼櫻巫女宿命所指的道路上，預取盡了自己的未來而死。
Zuoyequnxing_10_26,你難道不好奇，我給上任巫女看過什麼嗎？
Zuoyequnxing_10_27,如果我讓你有任何不快，你大可以直接斬破空間離開，這具分身當然也可以隨你處置。
Zuoyequnxing_10_28,不必浪費我的刀。
Zuoyequnxing_10_29,唉……這副樣子和上任巫女一模一樣。看來終有一日，她也會和她姐姐一樣，被自己的誓願燒成灰燼。
Zuoyequnxing_10_30,「永世巫女」嗎……該說她是自負，還是卑怯呢？
Zuoyequnxing_10_31,"殘星會會長偽裝為活潑的女性往人，談及那個「不再有下一個灼櫻巫女」的祈願，並在與緋雪的交談中顯露了真身。
二人對質中提及上任灼櫻巫女玉露是在身為巫女的道路上，預取盡未來而死，而會長曾在過去與玉露有過接觸。為了探究真相，緋雪走入了門中。"
Zuoyequnxing_11_1,（這樣平和的穗波市……為什麼要造出這種幻境。）
Zuoyequnxing_12_1,上學又遲到了……
Zuoyequnxing_13_1,明天能不能請假不去上班呢……如果上班就是人生全部問題的來源……人又為什麼要上班？
Zuoyequnxing_13_2,醒醒，當人生最大的問題是上班的時候，就已經很幸福了。
Zuoyequnxing_14_1,（如果葦原真能有這樣平和的日子，實現他們的願望，也無需再用刀了吧……）
Zuoyequnxing_15_1,最近的超級英雄片都太保守了，就是得把整個索拉里斯炸翻才夠勁啊！
Zuoyequnxing_15_2,別，就像這樣普通平淡地度過每一天才好。
Zuoyequnxing_16_1,嗯……找個時間去求個簽，求一下桃花運好了。
Zuoyequnxing_17_1,玉露姐……？
Zuoyequnxing_18_1,玉露大人，你聽我說喔！今天我不用學數學啦！
Zuoyequnxing_18_2,爸爸媽媽和姐姐最近也教了我做紅豆布丁，今天你想不想吃我做的呀？
Zuoyequnxing_18_3,好啊，我可喜歡吃紅豆布丁了。小甘奈的手藝，我當然要嚐嚐看囉。
Zuoyequnxing_18_4,好！那我現在就去做——
Zuoyequnxing_18_5,玉露姐，我來了，什麼事？
Zuoyequnxing_18_6,哎~沒有事就不願意來見姐姐了？
Zuoyequnxing_18_7,……不是。
Zuoyequnxing_18_8,呵呵，總是一副嚴肅的木頭臉。我就是來找小緋雪聊聊天，和你說話比較輕鬆嘛。
Zuoyequnxing_18_9,灼櫻那邊的情況怎麼樣？
Zuoyequnxing_18_10,今天來許願的人也很多。
Zuoyequnxing_18_11,鳴式的活躍期快到了，死亡將再次頻繁地造訪葦原。
Zuoyequnxing_18_12,祈願平安，祈願解脫，祈願勝利……在這種時候總是來得很頻繁。
Zuoyequnxing_18_13,灼櫻巫女是人與神的橋梁，是連接民眾祈願的「許願箱」，自然都要聽著啦。
Zuoyequnxing_18_14,……我最近，總是聽到玉露姐使用「鈴」的聲音。
Zuoyequnxing_18_15,為了實現祈願，藉由鈴鐺的力量去預取自身未來的可能性……遲早會被消耗殆盡的。
Zuoyequnxing_18_16,玉露姐早該從灼櫻巫女的位置上退下來，讓我繼承「鈴」了。
Zuoyequnxing_18_17,還好還好~姐姐的未來還多得很呢~
Zuoyequnxing_18_18,倒是小緋雪，為什麼總是想著這個？該不會是在暗地裡仰慕姐姐在戰場上大殺四方的英姿吧——
Zuoyequnxing_18_19,嗯。我也想和玉露姐一樣。
Zuoyequnxing_18_20,呵……想得美，你還早著呢，小木頭。
Zuoyequnxing_18_21,比起談論鈴鐺這種讓人煩心的東西，不如陪姐姐吃紅豆布丁吧？這家味道很好喔。
Zuoyequnxing_18_22,總是待在那棵灼櫻下練習射箭，多無聊，你這個年紀的女孩就該享受人生才對啊~
Zuoyequnxing_18_23,……玉露姐每次都這樣，明明知道我根本不喜歡那些東西。
Zuoyequnxing_18_24,我先回去了。
Zuoyequnxing_18_25,真的不一起吃？就當實現姐姐的願望嘛~
Zuoyequnxing_18_26,是玉露姐叫我，我才擱置了事情過來的，不能耽擱太久。
Zuoyequnxing_18_27,我也……不喜歡吃紅豆布丁。
Zuoyequnxing_18_28,喔！差點忘了，你不愛吃這些甜食。嘖嘖，可惜。
Zuoyequnxing_18_29,那姐姐我就自己去啦~
Zuoyequnxing_18_30,玉露姐從來沒有提及自己的願望，只是為別人實現祈願。
Zuoyequnxing_18_31,那時候……如果我選擇陪她，就好了。
Zuoyequnxing_18_32,"緋雪在門後不真實的穗波中，看到了往日玉露與自己的交談。過去的緋雪青澀木訥，而玉露則總是帶著笑包容她。因為執著於繼承姐姐玉露的巫女職責與「鈴」，往日的緋雪拒絕了玉露與之一起吃紅豆布丁的願望，獨自離開。
如今，後悔在緋雪心中時時徘徊：如果那時候，她選擇陪伴姐姐就好了。"
Zuoyequnxing_19_1,（……去看看吧，再看一眼也好。）
Zuoyequnxing_2_1,巫女大人，您聽得到嗎？
Zuoyequnxing_2_2,嗯，叫我緋雪就好。
Zuoyequnxing_2_3,好的，緋雪大人。
Zuoyequnxing_2_4,……嗯。
Zuoyequnxing_2_5,穗波市內大部分往人都已得到妥善安置，但有部分執念過深的往人，仍在危險區域內徘徊。
Zuoyequnxing_2_6,他們未被實現的強烈願望會吸引悲鳴力量聚集，誘發不可控的事件。
Zuoyequnxing_2_7,有您在，問題就簡單多了，沒想到您會來主動協助……
Zuoyequnxing_2_8,守護穗波，本就是灼櫻巫女的分內事，多謝各位協助。
Zuoyequnxing_2_9,而且，我也有事要拜託你們。
Zuoyequnxing_2_10,啊，您是指上任巫女玉露的事吧？我們已經找到了類似的頻率痕跡，但還不能確定具體的情況。
Zuoyequnxing_2_11,我們在嘗試確認更具體的位置，有進展我會及時聯繫您。
Zuoyequnxing_2_12,麻煩你們了。
Zuoyequnxing_2_13,沒有沒有，如果當年沒有您在，我早就……總之，這裡就拜託您了！
Zuoyequnxing_2_14,交給我就好。
Zuoyequnxing_2_15,你，有話想和我說？
Zuoyequnxing_2_16,……沒什麼的！緋雪大人，嗯……就是……您辛苦了！再見！
Zuoyequnxing_2_17,抵達穗波後，緋雪向黑海岸聯絡員了解了穗波的情況，並準備協助其處理部分執念深重的往人。黑海岸聯絡員提到，上任巫女玉露的具體位置目前仍未能確認。
Zuoyequnxing_3_1,（這把刀，的確如他們承諾的那般鋒利。）
Zuoyequnxing_3_2,（待拉海洛事畢，也該……攜刀返回葦原。）
Zuoyequnxing_4_1,您……您是……！
Zuoyequnxing_4_2,嗯。
Zuoyequnxing_4_3,灼櫻巫女大人，您回來了！我就知道那些怪物傷不了您！
Zuoyequnxing_4_4,他們都覺得自己會死在這，我說不會！巫女大人一定會來救我們！
Zuoyequnxing_4_5,……抱歉，我來遲了。
Zuoyequnxing_4_6,沒關係！我這不是等到您來了嗎？
Zuoyequnxing_4_7,請您親口告訴我吧，灼櫻巫女已親臨戰場，擊退那些怪物……！
Zuoyequnxing_4_8,鳴式已退去了，但我沒能……沒能救下你們……
Zuoyequnxing_4_9,但您又一次擊退了鳴式，早晚有一天，您會將鳴式徹底從葦原驅逐出去！
Zuoyequnxing_4_10,嗯，我已收下你的願望，總有一天……
Zuoyequnxing_4_11,「祓淨」往人
Zuoyequnxing_4_12,情緒激昂的青年往人，訴說著對灼櫻巫女之拯救的狂熱憧憬與依賴。
Zuoyequnxing_5_1,（我……愧對了他們的期待。）
Zuoyequnxing_5_2,（無論擊退多少次，鳴式總會捲土重來。）
Zuoyequnxing_5_3,（葦原，何時才會得到解脫……）
Zuoyequnxing_6_1,都怪你們……什麼「永世巫女」……一群廢物……都是一群廢物！
Zuoyequnxing_6_2,……
Zuoyequnxing_6_3,你怎麼還敢出現在穗波……！
Zuoyequnxing_6_4,都死了！大家全都死了！哈哈……我早該知道的，鳴式是打不贏的……我就該逃遠點，再遠點……
Zuoyequnxing_6_5,巫女大人……巫女大人！想想辦法吧，想想辦法吧？
Zuoyequnxing_6_6,我……
Zuoyequnxing_6_7,……我知道你們守不住，我知道鳴式怎麼都殺不死，但……但怎麼辦？
Zuoyequnxing_6_8,你們這些強大的人不會死的，就算輸了也不會死，我們這些普通人呢……只能等著鳴式殺死我們嗎？
Zuoyequnxing_6_9,巫女大人……英雄們……！我們怎麼辦？！
Zuoyequnxing_6_10,如果實在要恨的話，就來恨我吧。
Zuoyequnxing_6_11,無妨，就將所有痛苦與不甘都歸結於我一人，來讓自己的靈魂求得片刻安寧吧。
Zuoyequnxing_6_12,「祓淨」往人
Zuoyequnxing_6_13,滿懷悲憤的絕望往人，恐懼地訴說著對灼櫻巫女之失敗的痛斥與指責。
Zuoyequnxing_7_1,（如果當時我能再強一些……是否就能成功拯救他們？）
Zuoyequnxing_7_2,（若我能得到更多力量……）
Zuoyequnxing_8_1,巫女大人……是巫女大人嗎？
Zuoyequnxing_8_2,啊！真的是呢！是和玉露大人在一起說過話的巫女大人！
Zuoyequnxing_8_3,玉露大人和我說過喔，巫女大人是她最重要的家人，就像我和姐姐一樣！我記得名字是、是……
Zuoyequnxing_8_4,緋雪。
Zuoyequnxing_8_5,對，就是這個名字！和玉露大人的名字一樣好聽！
Zuoyequnxing_8_6,姐姐說，只要躲起來誠心祈禱，巫女大人就會來救我們。所以，我一直一直在這裡等著。
Zuoyequnxing_8_7,小朋友，你叫什麼名字？你的手很冷，等很久了嗎？
Zuoyequnxing_8_8,甘奈……姐姐說我的名字是甘奈。
Zuoyequnxing_8_9,巫女大人……你終於來了……但是，但是姐姐她……
Zuoyequnxing_8_10,嗯，我在聽。
Zuoyequnxing_8_11,姐姐拜託你自己等在這裡對嗎？她一定是非常信任你，才把這樣的任務交給你。
Zuoyequnxing_8_12,……任務？
Zuoyequnxing_8_13,嗯，如果沒有你，我根本找不到這裡。
Zuoyequnxing_8_14,所以，你出色地完成了「任務」。
Zuoyequnxing_8_15,巫女大人是來救穗波的嗎？穗波得救了嗎？
Zuoyequnxing_8_16,……嗯，穗波會好起來的。
Zuoyequnxing_8_17,姐姐說，巫女大人身上承載著大家的願望，是最強的！所以巫女大人一定會來，一定會想到辦法的。
Zuoyequnxing_8_18,那，巫女大人也能幫我再見到姐姐嗎？
Zuoyequnxing_8_19,當然，我們都會見到姐姐的。
Zuoyequnxing_8_20,「祓淨」往人
Zuoyequnxing_8_21,等我們找到了姐姐，就一起吃紅豆布丁好不好？我們家的紅豆布丁做得最好吃了！巫女姐姐來吃的話，就會有更多人來吃！
Zuoyequnxing_8_22,那你們要做很多很多紅豆布丁了。
Zuoyequnxing_8_23,約好了！我們來做很多很多紅豆布丁！
Zuoyequnxing_8_24,鳴式來了我們也有東西吃，也不會害怕了！
Zuoyequnxing_8_25,好，我們來做很多很多紅豆布丁。
Zuoyequnxing_8_26,……
